InvID,ProductID,ProductName,WarehouseLocation,Availability,Demand,OrderDate
28,57,Walker PLC Laptop,"Dehradun, Uttarakhand",0.0,156.0,2023-01-30
29,48,Harris Group Foundation,"Visakhapatnam, Andhra Pradesh",16.0,,2022-04-05
30,54,"Mcdonald, Hunt and Moore Headphones","Kolkata, West Bengal",101.0,159.0,2023-06-09
31,21,"Grant, Kent and Cook Yoga Mat","Delhi, Delhi",124.0,390.0,2022-08-28
32,69,Bennett LLC Marker,"Mysuru, Karnataka",0.0,113.0,2022-09-12
33,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",0.0,208.0,2023-09-18
34,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",0.0,91.0,2022-05-31
35,58,Cannon Inc Perfume,"Kochi, Kerala",88.0,323.0,2023-08-04
36,99,"Fleming, Soto and Robertson Shampoo","Bhubaneswar, Odisha",41.0,304.0,2023-12-22
37,48,Harris Group Foundation,"Visakhapatnam, Andhra Pradesh",0.0,130.0,2022-07-18
38,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",0.0,227.0,2024-07-02
39,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",23.0,218.0,2023-06-02
40,36,Brown-Larson Perfume,"Surat, Gujarat",,187.0,2022-08-13
41,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",238.0,472.0,2022-08-05
42,96,Wilson and Sons Vacuum Cleaner,"Bhopal, Madhya Pradesh",251.0,424.0,2024-03-21
43,90,Johnson Ltd Washing Machine,"Kanpur, Uttar Pradesh",,117.0,2024-01-20
44,45,"Campbell, Mcgee and Trevino Vacuum Cleaner","Kolkata, West Bengal",230.0,272.0,2022-09-28
45,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",9.0,348.0,2022-10-15
46,48,Harris Group Foundation,"Visakhapatnam, Andhra Pradesh",0.0,117.0,2023-05-15
47,52,"Lindsey, Moore and Hernandez Perfume","Amritsar, Punjab",234.0,440.0,2023-04-09
48,62,Vasquez-Bowers Laptop,"Lucknow, Uttar Pradesh",127.0,351.0,2023-11-28
49,59,"Richardson, Williams and Mendez Pen","Lucknow, Uttar Pradesh",0.0,182.0,2024-02-04
50,5,Williams-Hanson Massage Oil,"Gurugram, Haryana",,312.0,2022-02-19
51,88,Brandt-Hayes Microwave,"Vadodara, Gujarat",70.0,130.0,2022-08-06
52,16,Henderson and Sons Stapler,"Dehradun, Uttarakhand",0.0,234.0,2024-04-21
53,72,Moon-Hill Headphones,"Indore, Madhya Pradesh",0.0,82.0,2023-12-19
54,66,Ramirez-Christian Refrigerator,"Kolkata, West Bengal",245.0,373.0,2022-01-18
55,5,Williams-Hanson Massage Oil,"Gurugram, Haryana",129.0,443.0,2022-03-14
56,66,Ramirez-Christian Refrigerator,"Kolkata, West Bengal",56.0,393.0,2022-01-05
57,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",0.0,128.0,2023-08-31
58,85,Liu Group Cushion,"Indore, Madhya Pradesh",76.0,229.0,2022-03-15
59,32,"Rogers, Oconnor and Singleton Microwave","Kanpur, Uttar Pradesh",274.0,,2022-02-03
60,85,Liu Group Cushion,"Indore, Madhya Pradesh",244.0,302.0,2022-12-13
61,75,Hunt-Erickson Tablet,"Kochi, Kerala",0.0,87.0,2023-06-09
62,38,Porter-James Camera,"Kolkata, West Bengal",10.0,188.0,2023-10-13
63,96,Wilson and Sons Vacuum Cleaner,"Bhopal, Madhya Pradesh",465.0,495.0,2023-04-14
64,6,"Austin, Rodriguez and Rodgers Protein Powder","Cuttack, Odisha",0.0,141.0,2023-04-04
65,95,Hicks LLC Smartwatch,"Srinagar, J&K",0.0,154.0,2022-02-08
66,41,Rowland-Rodriguez Protein Powder,"Amritsar, Punjab",0.0,146.0,2022-06-27
67,51,"Ferguson, Avila and Deleon Notebook","Jammu, J&K",,367.0,2023-11-03
68,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",281.0,314.0,2023-09-27
69,49,Frederick Group Vase,"Mysuru, Karnataka",167.0,415.0,2024-01-01
70,15,Walker-Jones Notebook,"Hyderabad, Telangana",130.0,277.0,2023-06-15
71,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",0.0,14900.0,2022-02-08
72,29,"Hickman, Dunlap and House Vitamins","Visakhapatnam, Andhra Pradesh",0.0,105.0,2024-04-27
73,79,Santiago LLC Refrigerator,"Amritsar, Punjab",170.0,494.0,2022-01-28
74,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",0.0,205.0,2023-09-23
75,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",0.0,103.0,2023-08-11
76,86,"Johnson, Carroll and Barton Lipstick","Raipur, Chhattisgarh",0.0,101.0,2024-08-04
77,42,Brewer-Fowler Lipstick,"Guwahati, Assam",0.0,69.0,2024-01-27
78,19,Taylor Inc Yoga Mat,"Nagpur, Maharashtra",0.0,63.0,2022-10-29
79,89,"Fuller, Carter and Schaefer Shampoo","Cuttack, Odisha",0.0,156.0,2022-12-20
80,58,Cannon Inc Perfume,"Kochi, Kerala",0.0,150.0,2023-02-06
81,93,Dillon-Doyle Eraser,"Lucknow, Uttar Pradesh",19.0,175.0,2022-10-19
82,17,Osborn-Sherman Perfume,"Visakhapatnam, Andhra Pradesh",0.0,261.0,2023-12-02
83,69,Bennett LLC Marker,"Mysuru, Karnataka",13400.0,347.0,2022-10-22
84,84,Miller Group Smartphone,"Hyderabad, Telangana",99.0,310.0,2024-01-31
85,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",0.0,268.0,2023-09-13
86,29,"Hickman, Dunlap and House Vitamins","Visakhapatnam, Andhra Pradesh",67.0,496.0,2023-02-07
87,19,Taylor Inc Yoga Mat,"Nagpur, Maharashtra",38.0,126.0,2024-03-25
88,80,Phillips-Lewis Camera,"Kochi, Kerala",0.0,,2022-04-20
89,47,Vega and Sons Protein Powder,"Ranchi, Jharkhand",77.0,156.0,2023-01-23
90,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",0.0,342.0,2024-03-09
91,45,"Campbell, Mcgee and Trevino Vacuum Cleaner","Kolkata, West Bengal",332.0,358.0,2022-06-13
92,80,Phillips-Lewis Camera,"Kochi, Kerala",110.0,486.0,2022-10-21
93,80,Phillips-Lewis Camera,"Kochi, Kerala",63.0,189.0,2024-05-06
94,19,Taylor Inc Yoga Mat,"Nagpur, Maharashtra",0.0,120.0,2024-04-18
95,25,Harvey-Gomez Vacuum Cleaner,"Mumbai, Maharashtra",0.0,92.0,2022-09-28
96,61,Bailey-Cobb Face Mask,"Bengaluru, Karnataka",319.0,398.0,2022-05-21
97,54,"Mcdonald, Hunt and Moore Headphones","Kolkata, West Bengal",56.0,383.0,2022-11-24
98,100,Odom and Sons Moisturizer,"Madurai, Tamil Nadu",128.0,406.0,2022-11-09
99,51,"Ferguson, Avila and Deleon Notebook","Jammu, J&K",0.0,242.0,2022-12-29
100,40,"Jones, Tran and Murray Massage Oil","Ahmedabad, Gujarat",0.0,133.0,2024-03-28
101,23,"Turner, Roach and Campbell Vitamins","Bhubaneswar, Odisha",236.0,465.0,2023-06-27
102,100,Odom and Sons Moisturizer,"Madurai, Tamil Nadu",182.0,305.0,2023-01-12
103,28,Mcdonald-Sanchez Shampoo,"Vijayawada, Andhra Pradesh",0.0,174.0,2023-01-21
104,35,Crawford-Mccarthy Perfume,"Mysuru, Karnataka",360.0,461.0,2022-03-10
105,21,"Grant, Kent and Cook Yoga Mat","Delhi, Delhi",,215.0,2022-04-21
106,40,"Jones, Tran and Murray Massage Oil","Ahmedabad, Gujarat",0.0,247.0,2022-06-20
107,42,Brewer-Fowler Lipstick,"Guwahati, Assam",0.0,144.0,2023-11-21
108,72,Moon-Hill Headphones,"Indore, Madhya Pradesh",190.0,454.0,2023-01-19
109,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",48.0,487.0,2022-06-25
110,95,Hicks LLC Smartwatch,"Srinagar, J&K",0.0,264.0,2023-11-13
111,5,Williams-Hanson Massage Oil,"Gurugram, Haryana",87.0,404.0,2022-04-10
112,50,"Brown, Perez and Kramer Headphones","Chandigarh, UT",165.0,349.0,2022-04-09
113,26,Nichols-Jones Refrigerator,"Chandigarh, UT",0.0,145.0,2022-08-02
114,39,Cunningham Group Tablet,"Pune, Maharashtra",149.0,335.0,2023-04-24
115,60,Scott-Daniels Washing Machine,"Jammu, J&K",108.0,343.0,2022-03-22
116,33,Smith-Shepherd Vase,"Kanpur, Uttar Pradesh",0.0,374.0,2024-08-27
117,23,"Turner, Roach and Campbell Vitamins","Bhubaneswar, Odisha",152.0,279.0,2022-08-01
118,71,"Shaw, Foster and Bond Shampoo","Mysuru, Karnataka",60.0,,2022-12-23
119,63,"Cole, Wise and Jackson Smartwatch","Kolkata, West Bengal",326.0,452.0,2022-12-01
120,62,Vasquez-Bowers Laptop,"Lucknow, Uttar Pradesh",157.0,263.0,2024-01-25
121,60,Scott-Daniels Washing Machine,"Jammu, J&K",0.0,200.0,2022-10-15
122,74,Thompson Group Protein Powder,"Nagpur, Maharashtra",338.0,451.0,2024-07-07
123,16,Henderson and Sons Stapler,"Dehradun, Uttarakhand",271.0,447.0,2022-04-04
124,1,"Knight, Potter and Lewis Face Mask","Surat, Gujarat",396.0,436.0,2023-01-14
125,79,Santiago LLC Refrigerator,"Amritsar, Punjab",64.0,383.0,2023-07-22
126,57,Walker PLC Laptop,"Dehradun, Uttarakhand",15.0,297.0,2023-12-12
127,45,"Campbell, Mcgee and Trevino Vacuum Cleaner","Kolkata, West Bengal",8.0,155.0,2024-08-27
128,37,Suarez-James Curtains,"Vijayawada, Andhra Pradesh",0.0,388.0,2023-09-01
129,98,"Martin, Perez and Adams Laptop","Gurugram, Haryana",7.0,362.0,2023-08-19
130,63,"Cole, Wise and Jackson Smartwatch","Kolkata, West Bengal",0.0,255.0,2022-03-31
131,37,Suarez-James Curtains,"Vijayawada, Andhra Pradesh",230.0,382.0,2022-04-03
132,65,"Walls, Hines and Brooks Pen","Jammu, J&K",5850.0,411.0,2022-11-29
133,42,Brewer-Fowler Lipstick,"Guwahati, Assam",0.0,159.0,2024-01-31
134,22,"Chung, Flowers and Henderson Eraser","Shimla, Himachal Pradesh",75.0,186.0,2023-10-12
135,6,"Austin, Rodriguez and Rodgers Protein Powder","Cuttack, Odisha",58.0,194.0,2024-05-28
136,21,"Grant, Kent and Cook Yoga Mat","Delhi, Delhi",0.0,408.0,2022-08-29
137,95,Hicks LLC Smartwatch,"Srinagar, J&K",107.0,410.0,2022-04-07
138,19,Taylor Inc Yoga Mat,"Nagpur, Maharashtra",0.0,54.0,2022-08-10
139,34,Wilson PLC Lipstick,"Raipur, Chhattisgarh",415.0,423.0,2022-01-28
140,60,Scott-Daniels Washing Machine,"Jammu, J&K",111.0,423.0,2024-08-16
141,94,"Burns, Durham and Rose Notebook","Amritsar, Punjab",0.0,143.0,2024-07-16
142,25,Harvey-Gomez Vacuum Cleaner,"Mumbai, Maharashtra",187.0,241.0,2024-02-06
143,24,Gutierrez-Thompson Cushion,"Bhopal, Madhya Pradesh",309.0,427.0,2022-07-08
144,57,Walker PLC Laptop,"Dehradun, Uttarakhand",328.0,360.0,2024-04-26
145,37,Suarez-James Curtains,"Vijayawada, Andhra Pradesh",86.0,253.0,2022-03-20
146,48,Harris Group Foundation,"Visakhapatnam, Andhra Pradesh",116.0,230.0,2024-06-07
147,74,Thompson Group Protein Powder,"Nagpur, Maharashtra",0.0,334.0,2024-04-04
148,97,Willis-Davenport Tablet,"Delhi, Delhi",172.0,433.0,2023-01-20
149,55,Quinn-Brooks Moisturizer,"Patna, Bihar",186.0,,2023-05-10
150,35,Crawford-Mccarthy Perfume,"Mysuru, Karnataka",,200.0,2024-03-02
151,38,Porter-James Camera,"Kolkata, West Bengal",158.0,178.0,2022-09-25
152,17,Osborn-Sherman Perfume,"Visakhapatnam, Andhra Pradesh",0.0,359.0,2023-01-12
153,87,"Walker, Hinton and Nixon Marker","Mysuru, Karnataka",0.0,149.0,2023-05-02
154,97,Willis-Davenport Tablet,"Delhi, Delhi",422.0,435.0,2022-01-20
155,77,Moody LLC Stapler,"Pune, Maharashtra",5.0,383.0,2022-10-01
156,55,Quinn-Brooks Moisturizer,"Patna, Bihar",199.0,229.0,2022-08-10
157,43,Warren-Marshall Microwave,"Thiruvananthapuram, Kerala",91.0,384.0,2023-03-09
158,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",161.0,165.0,2024-01-28
159,40,"Jones, Tran and Murray Massage Oil","Ahmedabad, Gujarat",100.0,418.0,2023-11-18
160,89,"Fuller, Carter and Schaefer Shampoo","Cuttack, Odisha",358.0,386.0,2022-04-25
161,85,Liu Group Cushion,"Indore, Madhya Pradesh",,481.0,2023-06-26
162,79,Santiago LLC Refrigerator,"Amritsar, Punjab",0.0,231.0,2022-12-10
163,49,Frederick Group Vase,"Mysuru, Karnataka",0.0,123.0,2023-06-20
164,23,"Turner, Roach and Campbell Vitamins","Bhubaneswar, Odisha",0.0,112.0,2023-05-04
165,85,Liu Group Cushion,"Indore, Madhya Pradesh",0.0,93.0,2023-02-04
166,31,Meyers-Williams Washing Machine,"Shimla, Himachal Pradesh",65.0,70.0,2022-02-18
167,24,Gutierrez-Thompson Cushion,"Bhopal, Madhya Pradesh",0.0,348.0,2022-11-25
168,2,Ramirez LLC Stapler,"Visakhapatnam, Andhra Pradesh",160.0,307.0,2023-01-04
169,41,Rowland-Rodriguez Protein Powder,"Amritsar, Punjab",0.0,165.0,2023-11-22
170,24,Gutierrez-Thompson Cushion,"Bhopal, Madhya Pradesh",0.0,112.0,2024-04-16
171,73,Hunt Ltd Smartphone,"Gurugram, Haryana",0.0,211.0,2022-06-07
172,37,Suarez-James Curtains,"Vijayawada, Andhra Pradesh",326.0,401.0,2022-08-16
173,13,"Butler, Francis and Lopez Headphones","Thiruvananthapuram, Kerala",0.0,258.0,2023-02-07
174,40,"Jones, Tran and Murray Massage Oil","Ahmedabad, Gujarat",192.0,49000.0,2023-02-24
175,50,"Brown, Perez and Kramer Headphones","Chandigarh, UT",159.0,428.0,2022-02-10
176,97,Willis-Davenport Tablet,"Delhi, Delhi",0.0,246.0,2024-05-08
177,30,Garcia-Bush Eraser,"Noida, Uttar Pradesh",188.0,209.0,2022-09-24
178,28,Mcdonald-Sanchez Shampoo,"Vijayawada, Andhra Pradesh",110.0,299.0,2023-03-19
179,98,"Martin, Perez and Adams Laptop","Gurugram, Haryana",0.0,52.0,2022-07-22
180,29,"Hickman, Dunlap and House Vitamins","Visakhapatnam, Andhra Pradesh",,274.0,2024-04-22
181,61,Bailey-Cobb Face Mask,"Bengaluru, Karnataka",272.0,392.0,2024-02-16
182,21,"Grant, Kent and Cook Yoga Mat","Delhi, Delhi",84.0,436.0,2024-03-30
183,42,Brewer-Fowler Lipstick,"Guwahati, Assam",0.0,220.0,2024-04-05
184,16,Henderson and Sons Stapler,"Dehradun, Uttarakhand",0.0,141.0,2022-08-18
185,32,"Rogers, Oconnor and Singleton Microwave","Kanpur, Uttar Pradesh",0.0,112.0,2022-11-12
186,44,Lee-Middleton Lipstick,"Noida, Uttar Pradesh",0.0,107.0,2024-03-16
187,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",285.0,422.0,2022-07-15
188,60,Scott-Daniels Washing Machine,"Jammu, J&K",200.0,327.0,2022-01-22
189,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",,341.0,2023-04-24
190,74,Thompson Group Protein Powder,"Nagpur, Maharashtra",0.0,,2023-06-11
191,96,Wilson and Sons Vacuum Cleaner,"Bhopal, Madhya Pradesh",0.0,246.0,2022-07-16
192,29,"Hickman, Dunlap and House Vitamins","Visakhapatnam, Andhra Pradesh",133.0,270.0,2023-05-13
193,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",0.0,50.0,2023-03-01
194,14,Nelson Inc Moisturizer,"Noida, Uttar Pradesh",41.0,,2023-07-10
195,72,Moon-Hill Headphones,"Indore, Madhya Pradesh",0.0,100.0,2024-05-26
196,30,Garcia-Bush Eraser,"Noida, Uttar Pradesh",387.0,436.0,2022-07-19
197,28,Mcdonald-Sanchez Shampoo,"Vijayawada, Andhra Pradesh",110.0,428.0,2022-09-07
198,54,"Mcdonald, Hunt and Moore Headphones","Kolkata, West Bengal",315.0,494.0,2023-03-05
199,31,Meyers-Williams Washing Machine,"Shimla, Himachal Pradesh",120.0,152.0,2022-03-02
200,94,"Burns, Durham and Rose Notebook","Amritsar, Punjab",56.0,211.0,2024-07-10
201,77,Moody LLC Stapler,"Pune, Maharashtra",0.0,221.0,2023-04-26
202,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",215.0,492.0,2022-10-15
203,37,Suarez-James Curtains,"Vijayawada, Andhra Pradesh",280.0,493.0,2023-08-01
204,11,Morales-Potter Eraser,"Vijayawada, Andhra Pradesh",0.0,52.0,2023-06-25
205,64,Browning-Burgess Vase,"Mysuru, Karnataka",255.0,268.0,2023-04-05
206,13,"Butler, Francis and Lopez Headphones","Thiruvananthapuram, Kerala",235.0,369.0,2022-02-20
207,21,"Grant, Kent and Cook Yoga Mat","Delhi, Delhi",0.0,118.0,2023-09-01
208,7,Smith PLC Vase,"Bhubaneswar, Odisha",0.0,70.0,2024-07-03
209,14,Nelson Inc Moisturizer,"Noida, Uttar Pradesh",107.0,124.0,2023-11-13
210,95,Hicks LLC Smartwatch,"Srinagar, J&K",5350.0,386.0,2023-05-20
211,61,Bailey-Cobb Face Mask,"Bengaluru, Karnataka",223.0,406.0,2022-06-29
212,44,Lee-Middleton Lipstick,"Noida, Uttar Pradesh",148.0,445.0,2024-02-27
213,72,Moon-Hill Headphones,"Indore, Madhya Pradesh",350.0,496.0,2023-04-29
214,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",0.0,85.0,2022-07-17
215,5,Williams-Hanson Massage Oil,"Gurugram, Haryana",0.0,,2022-08-03
216,2,Ramirez LLC Stapler,"Visakhapatnam, Andhra Pradesh",22.0,330.0,2022-03-01
217,52,"Lindsey, Moore and Hernandez Perfume","Amritsar, Punjab",0.0,401.0,2022-10-28
218,83,Sanchez Group Washing Machine,"Lucknow, Uttar Pradesh",47.0,208.0,2024-01-12
219,71,"Shaw, Foster and Bond Shampoo","Mysuru, Karnataka",0.0,142.0,2023-02-05
220,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",0.0,170.0,2022-08-30
221,25,Harvey-Gomez Vacuum Cleaner,"Mumbai, Maharashtra",0.0,,2024-04-10
222,56,Fischer-Chandler Camera,"Hyderabad, Telangana",0.0,170.0,2023-09-07
223,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",58.0,155.0,2024-04-05
224,20,Juarez LLC Marker,"Indore, Madhya Pradesh",0.0,75.0,2024-01-08
225,2,Ramirez LLC Stapler,"Visakhapatnam, Andhra Pradesh",320.0,341.0,2023-03-13
226,4,Chan Group Curtains,"Mysuru, Karnataka",0.0,66.0,2024-01-13
227,62,Vasquez-Bowers Laptop,"Lucknow, Uttar Pradesh",0.0,231.0,2023-03-19
228,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",0.0,124.0,2024-04-09
229,56,Fischer-Chandler Camera,"Hyderabad, Telangana",0.0,38400.0,2022-04-07
230,15,Walker-Jones Notebook,"Hyderabad, Telangana",267.0,455.0,2022-12-16
231,79,Santiago LLC Refrigerator,"Amritsar, Punjab",0.0,,2022-04-22
232,26,Nichols-Jones Refrigerator,"Chandigarh, UT",0.0,177.0,2023-03-06
233,64,Browning-Burgess Vase,"Mysuru, Karnataka",0.0,73.0,2023-03-25
234,11,Morales-Potter Eraser,"Vijayawada, Andhra Pradesh",0.0,96.0,2023-04-23
235,62,Vasquez-Bowers Laptop,"Lucknow, Uttar Pradesh",113.0,393.0,2023-10-06
236,39,Cunningham Group Tablet,"Pune, Maharashtra",0.0,399.0,2023-06-17
237,99,"Fleming, Soto and Robertson Shampoo","Bhubaneswar, Odisha",312.0,469.0,2023-07-16
238,42,Brewer-Fowler Lipstick,"Guwahati, Assam",422.0,479.0,2024-05-05
239,90,Johnson Ltd Washing Machine,"Kanpur, Uttar Pradesh",0.0,62.0,2024-06-13
240,61,Bailey-Cobb Face Mask,"Bengaluru, Karnataka",44.0,494.0,2024-07-01
241,91,"Moss, Shaw and Garcia Air Conditioner","Ranchi, Jharkhand",73.0,146.0,2024-02-17
242,18,"Moreno, Gill and Valentine Laptop","Lucknow, Uttar Pradesh",283.0,284.0,2023-09-03
243,11,Morales-Potter Eraser,"Vijayawada, Andhra Pradesh",,436.0,2024-06-07
244,77,Moody LLC Stapler,"Pune, Maharashtra",0.0,119.0,2022-02-10
245,83,Sanchez Group Washing Machine,"Lucknow, Uttar Pradesh",0.0,64.0,2023-10-21
246,51,"Ferguson, Avila and Deleon Notebook","Jammu, J&K",0.0,215.0,2022-10-08
247,16,Henderson and Sons Stapler,"Dehradun, Uttarakhand",0.0,41800.0,2023-07-11
248,45,"Campbell, Mcgee and Trevino Vacuum Cleaner","Kolkata, West Bengal",0.0,344.0,2022-07-05
249,10,"Fuller, Orozco and Key Wall Clock","Jaipur, Rajasthan",399.0,489.0,2022-05-07
250,75,Hunt-Erickson Tablet,"Kochi, Kerala",0.0,272.0,2023-05-31
251,54,"Mcdonald, Hunt and Moore Headphones","Kolkata, West Bengal",368.0,491.0,2022-10-16
252,15,Walker-Jones Notebook,"Hyderabad, Telangana",171.0,445.0,2022-11-29
253,80,Phillips-Lewis Camera,"Kochi, Kerala",44.0,120.0,2024-04-19
254,45,"Campbell, Mcgee and Trevino Vacuum Cleaner","Kolkata, West Bengal",337.0,476.0,2023-11-12
255,32,"Rogers, Oconnor and Singleton Microwave","Kanpur, Uttar Pradesh",220.0,419.0,2023-02-03
256,23,"Turner, Roach and Campbell Vitamins","Bhubaneswar, Odisha",198.0,282.0,2022-11-10
257,4,Chan Group Curtains,"Mysuru, Karnataka",0.0,78.0,2023-11-29
258,70,"Rodriguez, Lewis and Robinson Lipstick","Nagpur, Maharashtra",0.0,57.0,2022-05-11
259,30,Garcia-Bush Eraser,"Noida, Uttar Pradesh",36.0,91.0,2023-11-07
260,82,Harris-Wilson Vacuum Cleaner,"Shimla, Himachal Pradesh",101.0,459.0,2022-11-25
261,58,Cannon Inc Perfume,"Kochi, Kerala",0.0,,2023-08-07
262,1,"Knight, Potter and Lewis Face Mask","Surat, Gujarat",243.0,,2022-07-30
263,33,Smith-Shepherd Vase,"Kanpur, Uttar Pradesh",0.0,378.0,2022-06-27
264,64,Browning-Burgess Vase,"Mysuru, Karnataka",109.0,402.0,2024-07-03
265,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",176.0,411.0,2023-08-29
266,4,Chan Group Curtains,"Mysuru, Karnataka",50.0,63.0,2023-06-19
267,25,Harvey-Gomez Vacuum Cleaner,"Mumbai, Maharashtra",161.0,380.0,2022-06-28
268,33,Smith-Shepherd Vase,"Kanpur, Uttar Pradesh",0.0,,2022-05-13
269,10,"Fuller, Orozco and Key Wall Clock","Jaipur, Rajasthan",42.0,490.0,2023-10-13
270,18,"Moreno, Gill and Valentine Laptop","Lucknow, Uttar Pradesh",0.0,,2023-02-14
271,40,"Jones, Tran and Murray Massage Oil","Ahmedabad, Gujarat",378.0,406.0,2023-12-11
272,25,Harvey-Gomez Vacuum Cleaner,"Mumbai, Maharashtra",0.0,,2024-08-28
273,90,Johnson Ltd Washing Machine,"Kanpur, Uttar Pradesh",176.0,443.0,2024-05-04
274,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",292.0,472.0,2022-07-23
275,65,"Walls, Hines and Brooks Pen","Jammu, J&K",160.0,471.0,2022-07-01
276,54,"Mcdonald, Hunt and Moore Headphones","Kolkata, West Bengal",0.0,225.0,2022-11-07
277,73,Hunt Ltd Smartphone,"Gurugram, Haryana",0.0,80.0,2022-12-18
278,29,"Hickman, Dunlap and House Vitamins","Visakhapatnam, Andhra Pradesh",144.0,461.0,2022-12-18
279,71,"Shaw, Foster and Bond Shampoo","Mysuru, Karnataka",11.0,91.0,2023-05-07
280,6,"Austin, Rodriguez and Rodgers Protein Powder","Cuttack, Odisha",,156.0,2024-01-04
281,53,Allen-Hart Table Lamp,"Bengaluru, Karnataka",313.0,338.0,2023-05-13
282,20,Juarez LLC Marker,"Indore, Madhya Pradesh",0.0,258.0,2024-07-08
283,8,Payne LLC Washing Machine,"Kanpur, Uttar Pradesh",0.0,186.0,2024-08-14
284,31,Meyers-Williams Washing Machine,"Shimla, Himachal Pradesh",269.0,359.0,2023-12-02
285,61,Bailey-Cobb Face Mask,"Bengaluru, Karnataka",159.0,283.0,2023-01-24
286,24,Gutierrez-Thompson Cushion,"Bhopal, Madhya Pradesh",293.0,418.0,2024-07-09
287,16,Henderson and Sons Stapler,"Dehradun, Uttarakhand",0.0,,2022-07-13
288,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",0.0,38300.0,2023-02-03
289,96,Wilson and Sons Vacuum Cleaner,"Bhopal, Madhya Pradesh",137.0,300.0,2023-07-26
