SnapshotInvID,ProductID,ProductName,WarehouseLocation,unitsAvailable,unitsDemanded,SnapshotDate
30,61,Montoya-Holden Curtains,"Delhi, Delhi",297.0,383.0,2024-01-01
31,7,"Jones, Jackson and Rich Marker","Vadodara, Gujarat",0.0,373.0,2023-06-01
32,27,Gay-Clarke Moisturizer,"Delhi, Delhi",254.0,359.0,2024-06-01
33,77,"Simpson, Davis and Garcia Camera","Srinagar, J&K",169.0,376.0,2023-07-01
34,63,Cantu-Phillips Headphones,"Cuttack, Odisha",121.0,121.0,2022-02-01
35,33,"Robertson, Briggs and Hall Smartwatch","Ahmedabad, Gujarat",244.0,254.0,2022-02-01
36,55,"Carney, Ford and Lamb Massage Oil","Dehradun, Uttarakhand",0.0,125.0,2022-08-01
37,80,Ortiz-Garcia Laptop,"Jaipur, Rajasthan",0.0,286.0,2023-03-01
38,83,Garcia Ltd Pen,"Visakhapatnam, Andhra Pradesh",0.0,271.0,2023-12-01
39,43,"Robertson, Bell and Horn Moisturizer","Chennai, Tamil Nadu",275.0,455.0,2022-11-01
40,62,"Wang, Griffin and Cook Foundation","Bhopal, Madhya Pradesh",165.0,411.0,2022-03-01
41,69,"Curry, Cervantes and Jackson Vase","Patna, Bihar",0.0,413.0,2022-11-01
42,33,"Robertson, Briggs and Hall Smartwatch","Cuttack, Odisha",21.0,168.0,2023-06-01
43,46,Frank-Garcia Air Conditioner,"Kochi, Kerala",272.0,454.0,2024-09-01
44,66,"Harris, Sloan and Mack Refrigerator","Kanpur, Uttar Pradesh",260.0,293.0,2023-06-01
45,90,"Wilson, Schultz and Ross Air Conditioner","Vijayawada, Andhra Pradesh",58.0,226.0,2022-09-01
46,4,"Mcdaniel, Mercer and Nash Tablet","Guwahati, Assam",0.0,50.0,2024-03-01
47,22,"Romero, Patterson and Boyd Stapler","Mangalore, Karnataka",0.0,73.0,2024-03-01
48,68,"Hernandez, Martin and Anderson Protein Powder","Visakhapatnam, Andhra Pradesh",362.0,,2022-07-01
49,25,Gordon and Sons Lipstick,"Guwahati, Assam",149.0,480.0,2022-02-01
50,93,Walker-Choi Protein Powder,"Madurai, Tamil Nadu",0.0,89.0,2022-07-01
51,49,"Brown, Horn and Livingston Massage Oil","Coimbatore, Tamil Nadu",0.0,411.0,2022-08-01
52,60,Johnson-Banks Vitamins,"Bhubaneswar, Odisha",0.0,213.0,2024-08-01
53,49,"Brown, Horn and Livingston Massage Oil","Mysuru, Karnataka",0.0,183.0,2023-12-01
54,96,Johnson-Chapman Perfume,"Ahmedabad, Gujarat",79.0,276.0,2024-03-01
55,23,Thornton Inc Smartwatch,"Vadodara, Gujarat",204.0,476.0,2024-04-01
56,99,Hernandez-Davis Cushion,"Dehradun, Uttarakhand",0.0,122.0,2022-11-01
57,12,"Saunders, Smith and Atkins Notebook","Kolkata, West Bengal",0.0,70.0,2022-03-01
58,34,White-Huff Stapler,"Gurugram, Haryana",54.0,427.0,2024-08-01
59,3,"Schultz, Avila and Foster Table Lamp","Mangalore, Karnataka",0.0,318.0,2022-04-01
60,67,Hill PLC Air Conditioner,"Visakhapatnam, Andhra Pradesh",46.0,291.0,2022-10-01
61,40,Short Group Eraser,"Kochi, Kerala",113.0,222.0,2023-09-01
62,60,Johnson-Banks Vitamins,"Jaipur, Rajasthan",0.0,296.0,2023-09-01
63,33,"Robertson, Briggs and Hall Smartwatch","Bengaluru, Karnataka",184.0,478.0,2023-10-01
64,42,Robinson Ltd Curtains,"Srinagar, J&K",0.0,85.0,2022-11-01
65,58,Miles-Zhang Lipstick,"Delhi, Delhi",96.0,147.0,2022-02-01
66,41,Holmes-Wilson Laptop,"Guwahati, Assam",29.0,63.0,2023-06-01
67,18,Hughes and Sons Foundation,"Thiruvananthapuram, Kerala",,171.0,2022-05-01
68,38,Flores Group Moisturizer,"Bhubaneswar, Odisha",0.0,149.0,2023-06-01
69,82,Welch-Davis Tablet,"Patna, Bihar",305.0,433.0,2024-02-01
70,28,Hernandez-Patel Wall Clock,"Cuttack, Odisha",33.0,106.0,2022-03-01
71,31,"Huang, White and Mcclure Washing Machine","Raipur, Chhattisgarh",333.0,491.0,2024-08-01
72,79,"Grant, Johnson and Allen Smartphone","Jaipur, Rajasthan",0.0,327.0,2022-12-01
73,80,Ortiz-Garcia Laptop,"Srinagar, J&K",161.0,205.0,2022-04-01
74,45,Miller Ltd Lipstick,"Gurugram, Haryana",5150.0,319.0,2023-03-01
75,90,"Wilson, Schultz and Ross Air Conditioner","Jaipur, Rajasthan",129.0,495.0,2022-04-01
76,71,Harris-Ward Smartwatch,"Amritsar, Punjab",279.0,471.0,2023-07-01
77,29,Briggs Ltd Wall Clock,"Kochi, Kerala",0.0,72.0,2023-04-01
78,14,Acevedo Inc Notebook,"Raipur, Chhattisgarh",,370.0,2022-07-01
79,83,Garcia Ltd Pen,"Guwahati, Assam",5450.0,120.0,2023-01-01
80,97,"Porter, Harper and Gomez Tablet","Dehradun, Uttarakhand",0.0,219.0,2024-02-01
81,60,Johnson-Banks Vitamins,"Amritsar, Punjab",0.0,147.0,2022-01-01
82,70,Williams-Perkins Shampoo,"Mysuru, Karnataka",150.0,381.0,2022-11-01
83,100,Wright-Howard Microwave,"Kochi, Kerala",141.0,323.0,2024-04-01
84,19,Gray Ltd Curtains,"Gurugram, Haryana",0.0,200.0,2023-01-01
85,70,Williams-Perkins Shampoo,"Noida, Uttar Pradesh",126.0,483.0,2024-05-01
86,10,Byrd-Bailey Wall Clock,"Amritsar, Punjab",16.0,159.0,2023-09-01
87,77,"Simpson, Davis and Garcia Camera","Pune, Maharashtra",300.0,360.0,2024-02-01
88,77,"Simpson, Davis and Garcia Camera","Jaipur, Rajasthan",131.0,419.0,2022-06-01
89,44,Cortez Ltd Protein Powder,"Pune, Maharashtra",0.0,74.0,2023-07-01
90,65,"Singleton, Everett and Thompson Moisturizer","Jalandhar, Punjab",0.0,145.0,2023-06-01
91,78,Hill-Osborne Face Mask,"Coimbatore, Tamil Nadu",113.0,303.0,2023-09-01
92,98,Whitney-Garcia Microwave,"Noida, Uttar Pradesh",160.0,355.0,2024-05-01
93,32,Alvarado LLC Yoga Mat,"Coimbatore, Tamil Nadu",8.0,305.0,2023-06-01
94,12,"Saunders, Smith and Atkins Notebook","Mysuru, Karnataka",0.0,147.0,2023-02-01
95,10,Byrd-Bailey Wall Clock,"Srinagar, J&K",0.0,135.0,2024-04-01
96,11,Johnson and Sons Laptop,"Gurugram, Haryana",14.0,74.0,2022-08-01
97,11,Johnson and Sons Laptop,"Noida, Uttar Pradesh",,369.0,2022-01-01
98,19,Gray Ltd Curtains,"Shimla, Himachal Pradesh",0.0,77.0,2024-01-01
99,69,"Curry, Cervantes and Jackson Vase","Srinagar, J&K",0.0,362.0,2022-06-01
100,59,"Stephenson, Weber and Bailey Lipstick","Lucknow, Uttar Pradesh",15.0,209.0,2022-01-01
101,36,"Ferguson, Hernandez and Boyd Yoga Mat","Ahmedabad, Gujarat",231.0,293.0,2022-09-01
102,78,Hill-Osborne Face Mask,"Raipur, Chhattisgarh",0.0,132.0,2023-12-01
103,17,Wolfe-Hood Pen,"Kanpur, Uttar Pradesh",0.0,120.0,2023-12-01
104,8,Bennett Ltd Microwave,"Thiruvananthapuram, Kerala",,267.0,2023-03-01
105,16,Hernandez Inc Moisturizer,"Jaipur, Rajasthan",275.0,499.0,2024-03-01
106,6,Jordan Ltd Perfume,"Vijayawada, Andhra Pradesh",69.0,242.0,2023-03-01
107,92,"Thomas, Tate and Soto Smartwatch","Kolkata, West Bengal",0.0,,2022-01-01
108,4,"Mcdaniel, Mercer and Nash Tablet","Srinagar, J&K",0.0,102.0,2024-08-01
109,37,Reyes Ltd Lipstick,"Gurugram, Haryana",0.0,221.0,2022-09-01
110,54,"Cook, Hess and Mccormick Laptop","Jaipur, Rajasthan",66.0,365.0,2023-08-01
111,40,Short Group Eraser,"Kochi, Kerala",59.0,366.0,2022-09-01
112,17,Wolfe-Hood Pen,"Mangalore, Karnataka",61.0,309.0,2022-10-01
113,25,Gordon and Sons Lipstick,"Delhi, Delhi",0.0,141.0,2022-04-01
114,98,Whitney-Garcia Microwave,"Lucknow, Uttar Pradesh",0.0,77.0,2023-10-01
115,51,"Williams, Barnes and Thompson Vacuum Cleaner","Nagpur, Maharashtra",136.0,465.0,2022-12-01
116,15,Owens Ltd Refrigerator,"Hyderabad, Telangana",196.0,218.0,2022-06-01
117,20,Lewis Ltd Washing Machine,"Cuttack, Odisha",,294.0,2024-01-01
118,35,Davis Inc Washing Machine,"Vijayawada, Andhra Pradesh",229.0,310.0,2023-05-01
119,66,"Harris, Sloan and Mack Refrigerator","Kanpur, Uttar Pradesh",4750.0,498.0,2023-10-01
120,100,Wright-Howard Microwave,"Vijayawada, Andhra Pradesh",0.0,139.0,2024-03-01
121,89,James Ltd Smartphone,"Noida, Uttar Pradesh",206.0,291.0,2023-06-01
122,4,"Mcdaniel, Mercer and Nash Tablet","Nagpur, Maharashtra",195.0,239.0,2024-02-01
123,78,Hill-Osborne Face Mask,"Bhopal, Madhya Pradesh",22.0,76.0,2024-08-01
124,61,Montoya-Holden Curtains,"Raipur, Chhattisgarh",148.0,,2024-09-01
125,25,Gordon and Sons Lipstick,"Patna, Bihar",107.0,279.0,2023-12-01
126,94,Sullivan-Brown Shampoo,"Noida, Uttar Pradesh",0.0,287.0,2023-05-01
127,30,"Miller, Riggs and Riley Shampoo","Gurugram, Haryana",0.0,195.0,2022-12-01
128,83,Garcia Ltd Pen,"Chennai, Tamil Nadu",69.0,294.0,2024-01-01
129,39,"Smith, Hill and Woods Perfume","Thiruvananthapuram, Kerala",0.0,337.0,2022-01-01
130,89,James Ltd Smartphone,"Jalandhar, Punjab",237.0,497.0,2022-03-01
131,96,Johnson-Chapman Perfume,"Kanpur, Uttar Pradesh",0.0,55.0,2023-10-01
132,93,Walker-Choi Protein Powder,"Ranchi, Jharkhand",114.0,197.0,2023-08-01
133,2,Larson and Sons Foundation,"Lucknow, Uttar Pradesh",19.0,163.0,2022-11-01
134,98,Whitney-Garcia Microwave,"Delhi, Delhi",0.0,310.0,2022-04-01
135,55,"Carney, Ford and Lamb Massage Oil","Ahmedabad, Gujarat",0.0,257.0,2022-04-01
136,79,"Grant, Johnson and Allen Smartphone","Gurugram, Haryana",196.0,414.0,2022-07-01
137,8,Bennett Ltd Microwave,"Cuttack, Odisha",0.0,109.0,2023-01-01
138,73,"Jordan, West and Garcia Yoga Mat","Madurai, Tamil Nadu",0.0,216.0,2022-04-01
139,8,Bennett Ltd Microwave,"Nagpur, Maharashtra",0.0,218.0,2024-03-01
140,16,Hernandez Inc Moisturizer,"Raipur, Chhattisgarh",42.0,,2023-06-01
141,16,Hernandez Inc Moisturizer,"Cuttack, Odisha",,384.0,2024-05-01
142,7,"Jones, Jackson and Rich Marker","Cuttack, Odisha",0.0,65.0,2022-05-01
143,21,"Bass, Wright and Jones Table Lamp","Delhi, Delhi",0.0,58.0,2022-06-01
144,34,White-Huff Stapler,"Raipur, Chhattisgarh",30.0,145.0,2023-06-01
145,2,Larson and Sons Foundation,"Cuttack, Odisha",0.0,54.0,2022-11-01
146,84,Hansen Inc Face Mask,"Vijayawada, Andhra Pradesh",0.0,289.0,2023-06-01
147,96,Johnson-Chapman Perfume,"Vadodara, Gujarat",12.0,80.0,2023-01-01
148,93,Walker-Choi Protein Powder,"Shimla, Himachal Pradesh",83.0,123.0,2023-07-01
149,78,Hill-Osborne Face Mask,"Ranchi, Jharkhand",267.0,276.0,2024-08-01
150,99,Hernandez-Davis Cushion,"Thiruvananthapuram, Kerala",0.0,51.0,2024-08-01
151,81,Lewis PLC Vacuum Cleaner,"Pune, Maharashtra",139.0,458.0,2023-12-01
152,93,Walker-Choi Protein Powder,"Noida, Uttar Pradesh",0.0,274.0,2023-11-01
153,53,Rogers Inc Smartphone,"Amritsar, Punjab",245.0,,2022-02-01
154,67,Hill PLC Air Conditioner,"Mysuru, Karnataka",54.0,489.0,2022-12-01
155,92,"Thomas, Tate and Soto Smartwatch","Nagpur, Maharashtra",0.0,178.0,2023-01-01
156,65,"Singleton, Everett and Thompson Moisturizer","Vijayawada, Andhra Pradesh",43.0,449.0,2024-06-01
157,67,Hill PLC Air Conditioner,"Patna, Bihar",0.0,185.0,2024-07-01
158,59,"Stephenson, Weber and Bailey Lipstick","Delhi, Delhi",199.0,,2023-08-01
159,5,Woods-Rasmussen Smartwatch,"Jalandhar, Punjab",336.0,449.0,2022-06-01
160,65,"Singleton, Everett and Thompson Moisturizer","Bhubaneswar, Odisha",121.0,348.0,2023-12-01
161,26,Simmons-Stevens Massage Oil,"Pune, Maharashtra",269.0,459.0,2022-02-01
162,28,Hernandez-Patel Wall Clock,"Mangalore, Karnataka",0.0,175.0,2022-04-01
163,9,"Hodges, Stanley and Sanchez Air Conditioner","Jalandhar, Punjab",371.0,397.0,2024-04-01
164,60,Johnson-Banks Vitamins,"Ahmedabad, Gujarat",0.0,163.0,2023-04-01
165,46,Frank-Garcia Air Conditioner,"Mysuru, Karnataka",10700.0,317.0,2022-05-01
166,67,Hill PLC Air Conditioner,"Ahmedabad, Gujarat",0.0,72.0,2023-01-01
167,43,"Robertson, Bell and Horn Moisturizer","Jalandhar, Punjab",455.0,48400.0,2022-02-01
168,94,Sullivan-Brown Shampoo,"Kolkata, West Bengal",182.0,352.0,2023-02-01
169,82,Welch-Davis Tablet,"Kanpur, Uttar Pradesh",0.0,222.0,2023-10-01
170,25,Gordon and Sons Lipstick,"Mysuru, Karnataka",31.0,177.0,2023-08-01
171,80,Ortiz-Garcia Laptop,"Shimla, Himachal Pradesh",116.0,278.0,2023-04-01
172,57,"Bush, Evans and Davidson Smartphone","Lucknow, Uttar Pradesh",0.0,20300.0,2024-07-01
173,7,"Jones, Jackson and Rich Marker","Jalandhar, Punjab",270.0,489.0,2023-04-01
174,21,"Bass, Wright and Jones Table Lamp","Jalandhar, Punjab",0.0,34900.0,2022-04-01
175,13,Christensen-Patrick Foundation,"Kochi, Kerala",0.0,227.0,2024-03-01
176,51,"Williams, Barnes and Thompson Vacuum Cleaner","Ahmedabad, Gujarat",37.0,331.0,2024-02-01
177,75,Chen PLC Perfume,"Mangalore, Karnataka",278.0,280.0,2023-05-01
178,59,"Stephenson, Weber and Bailey Lipstick","Jalandhar, Punjab",197.0,436.0,2023-04-01
179,96,Johnson-Chapman Perfume,"Vadodara, Gujarat",0.0,175.0,2023-11-01
180,71,Harris-Ward Smartwatch,"Mysuru, Karnataka",50.0,449.0,2024-03-01
181,39,"Smith, Hill and Woods Perfume","Chandigarh, UT",172.0,,2023-07-01
182,47,"Wilkins, Wright and Williams Smartphone","Jalandhar, Punjab",281.0,406.0,2023-05-01
183,36,"Ferguson, Hernandez and Boyd Yoga Mat","Lucknow, Uttar Pradesh",286.0,480.0,2024-06-01
184,66,"Harris, Sloan and Mack Refrigerator","Madurai, Tamil Nadu",361.0,400.0,2022-06-01
185,54,"Cook, Hess and Mccormick Laptop","Ahmedabad, Gujarat",435.0,497.0,2024-04-01
186,29,Briggs Ltd Wall Clock,"Chennai, Tamil Nadu",0.0,50.0,2022-10-01
187,85,Hobbs-Hanson Refrigerator,"Srinagar, J&K",85.0,171.0,2023-06-01
188,9,"Hodges, Stanley and Sanchez Air Conditioner","Kolkata, West Bengal",0.0,263.0,2022-07-01
189,22,"Romero, Patterson and Boyd Stapler","Pune, Maharashtra",0.0,301.0,2024-02-01
190,67,Hill PLC Air Conditioner,"Coimbatore, Tamil Nadu",0.0,148.0,2024-02-01
191,98,Whitney-Garcia Microwave,"Ahmedabad, Gujarat",0.0,186.0,2024-02-01
192,11,Johnson and Sons Laptop,"Shimla, Himachal Pradesh",60.0,383.0,2022-03-01
193,19,Gray Ltd Curtains,"Chandigarh, UT",136.0,266.0,2024-06-01
194,29,Briggs Ltd Wall Clock,"Raipur, Chhattisgarh",0.0,,2023-11-01
195,19,Gray Ltd Curtains,"Ranchi, Jharkhand",442.0,460.0,2024-09-01
196,82,Welch-Davis Tablet,"Delhi, Delhi",144.0,453.0,2023-06-01
197,7,"Jones, Jackson and Rich Marker","Noida, Uttar Pradesh",0.0,289.0,2023-07-01
198,97,"Porter, Harper and Gomez Tablet","Bengaluru, Karnataka",62.0,500.0,2024-06-01
199,34,White-Huff Stapler,"Kanpur, Uttar Pradesh",0.0,203.0,2023-03-01
200,48,Suarez-French Refrigerator,"Nagpur, Maharashtra",197.0,366.0,2024-04-01
201,78,Hill-Osborne Face Mask,"Nagpur, Maharashtra",77.0,144.0,2023-08-01
202,70,Williams-Perkins Shampoo,"Bhubaneswar, Odisha",57.0,89.0,2024-07-01
203,91,Garcia-Mills Headphones,"Patna, Bihar",0.0,235.0,2024-05-01
204,36,"Ferguson, Hernandez and Boyd Yoga Mat","Amritsar, Punjab",226.0,262.0,2022-03-01
205,72,Peterson-Garrison Refrigerator,"Thiruvananthapuram, Kerala",0.0,273.0,2022-04-01
206,21,"Bass, Wright and Jones Table Lamp","Nagpur, Maharashtra",,362.0,2022-05-01
207,53,Rogers Inc Smartphone,"Nagpur, Maharashtra",0.0,202.0,2023-02-01
208,9,"Hodges, Stanley and Sanchez Air Conditioner","Srinagar, J&K",312.0,428.0,2023-06-01
209,11,Johnson and Sons Laptop,"Shimla, Himachal Pradesh",62.0,491.0,2022-08-01
210,96,Johnson-Chapman Perfume,"Mysuru, Karnataka",239.0,443.0,2022-07-01
211,69,"Curry, Cervantes and Jackson Vase","Visakhapatnam, Andhra Pradesh",227.0,,2024-05-01
212,100,Wright-Howard Microwave,"Ranchi, Jharkhand",384.0,394.0,2022-12-01
213,75,Chen PLC Perfume,"Vadodara, Gujarat",79.0,369.0,2023-01-01
214,10,Byrd-Bailey Wall Clock,"Jaipur, Rajasthan",11.0,192.0,2023-05-01
215,9,"Hodges, Stanley and Sanchez Air Conditioner","Pune, Maharashtra",0.0,189.0,2024-09-01
216,61,Montoya-Holden Curtains,"Raipur, Chhattisgarh",412.0,423.0,2023-05-01
217,49,"Brown, Horn and Livingston Massage Oil","Visakhapatnam, Andhra Pradesh",0.0,418.0,2023-08-01
218,76,Willis-Miller Laptop,"Hyderabad, Telangana",0.0,54.0,2024-05-01
219,14,Acevedo Inc Notebook,"Hyderabad, Telangana",120.0,324.0,2022-03-01
220,8,Bennett Ltd Microwave,"Dehradun, Uttarakhand",0.0,135.0,2022-05-01
221,72,Peterson-Garrison Refrigerator,"Pune, Maharashtra",0.0,295.0,2024-04-01
222,45,Miller Ltd Lipstick,"Chandigarh, UT",235.0,403.0,2022-09-01
223,2,Larson and Sons Foundation,"Kanpur, Uttar Pradesh",202.0,485.0,2022-06-01
224,69,"Curry, Cervantes and Jackson Vase","Patna, Bihar",0.0,314.0,2022-06-01
225,69,"Curry, Cervantes and Jackson Vase","Dehradun, Uttarakhand",40.0,,2022-09-01
226,79,"Grant, Johnson and Allen Smartphone","Gurugram, Haryana",203.0,270.0,2022-11-01
227,28,Hernandez-Patel Wall Clock,"Ranchi, Jharkhand",25.0,470.0,2024-04-01
228,30,"Miller, Riggs and Riley Shampoo","Patna, Bihar",119.0,410.0,2023-07-01
229,3,"Schultz, Avila and Foster Table Lamp","Kochi, Kerala",65.0,377.0,2022-07-01
230,95,Soto-Weaver Cushion,"Ranchi, Jharkhand",221.0,396.0,2023-03-01
231,14,Acevedo Inc Notebook,"Amritsar, Punjab",0.0,315.0,2022-08-01
232,75,Chen PLC Perfume,"Hyderabad, Telangana",0.0,139.0,2022-01-01
233,9,"Hodges, Stanley and Sanchez Air Conditioner","Hyderabad, Telangana",0.0,55.0,2024-04-01
234,86,Zuniga-Black Air Conditioner,"Pune, Maharashtra",437.0,439.0,2024-01-01
235,36,"Ferguson, Hernandez and Boyd Yoga Mat","Raipur, Chhattisgarh",109.0,291.0,2024-05-01
236,12,"Saunders, Smith and Atkins Notebook","Raipur, Chhattisgarh",398.0,474.0,2022-07-01
237,47,"Wilkins, Wright and Williams Smartphone","Amritsar, Punjab",0.0,199.0,2022-08-01
238,25,Gordon and Sons Lipstick,"Dehradun, Uttarakhand",0.0,,2022-05-01
239,67,Hill PLC Air Conditioner,"Lucknow, Uttar Pradesh",0.0,382.0,2022-08-01
240,48,Suarez-French Refrigerator,"Srinagar, J&K",0.0,97.0,2023-04-01
241,48,Suarez-French Refrigerator,"Jalandhar, Punjab",,98.0,2022-11-01
242,77,"Simpson, Davis and Garcia Camera","Raipur, Chhattisgarh",223.0,227.0,2024-03-01
243,49,"Brown, Horn and Livingston Massage Oil","Delhi, Delhi",59.0,402.0,2024-03-01
244,47,"Wilkins, Wright and Williams Smartphone","Madurai, Tamil Nadu",240.0,,2023-12-01
245,13,Christensen-Patrick Foundation,"Amritsar, Punjab",10.0,497.0,2022-10-01
246,81,Lewis PLC Vacuum Cleaner,"Visakhapatnam, Andhra Pradesh",87.0,389.0,2023-07-01
247,29,Briggs Ltd Wall Clock,"Gurugram, Haryana",361.0,375.0,2022-08-01
248,17,Wolfe-Hood Pen,"Guwahati, Assam",0.0,184.0,2024-03-01
249,46,Frank-Garcia Air Conditioner,"Chandigarh, UT",0.0,415.0,2022-07-01
250,70,Williams-Perkins Shampoo,"Guwahati, Assam",0.0,131.0,2023-03-01
251,77,"Simpson, Davis and Garcia Camera","Jalandhar, Punjab",0.0,134.0,2024-06-01
252,40,Short Group Eraser,"Guwahati, Assam",128.0,332.0,2022-05-01
253,14,Acevedo Inc Notebook,"Vijayawada, Andhra Pradesh",76.0,240.0,2024-04-01
254,27,Gay-Clarke Moisturizer,"Vadodara, Gujarat",19.0,454.0,2024-03-01
255,21,"Bass, Wright and Jones Table Lamp","Shimla, Himachal Pradesh",0.0,59.0,2022-09-01
256,25,Gordon and Sons Lipstick,"Noida, Uttar Pradesh",0.0,132.0,2023-08-01
257,11,Johnson and Sons Laptop,"Kochi, Kerala",59.0,376.0,2022-07-01
258,11,Johnson and Sons Laptop,"Ranchi, Jharkhand",158.0,340.0,2022-10-01
259,23,Thornton Inc Smartwatch,"Mangalore, Karnataka",0.0,,2023-06-01
260,89,James Ltd Smartphone,"Srinagar, J&K",196.0,462.0,2024-02-01
261,78,Hill-Osborne Face Mask,"Chandigarh, UT",1.0,430.0,2023-08-01
262,15,Owens Ltd Refrigerator,"Raipur, Chhattisgarh",0.0,287.0,2023-08-01
263,27,Gay-Clarke Moisturizer,"Jaipur, Rajasthan",0.0,151.0,2023-02-01
264,33,"Robertson, Briggs and Hall Smartwatch","Cuttack, Odisha",0.0,317.0,2024-09-01
265,53,Rogers Inc Smartphone,"Vadodara, Gujarat",85.0,108.0,2022-09-01
266,46,Frank-Garcia Air Conditioner,"Gurugram, Haryana",0.0,61.0,2023-12-01
267,82,Welch-Davis Tablet,"Dehradun, Uttarakhand",11.0,330.0,2024-09-01
268,20,Lewis Ltd Washing Machine,"Pune, Maharashtra",98.0,237.0,2024-05-01
269,95,Soto-Weaver Cushion,"Chennai, Tamil Nadu",0.0,472.0,2022-01-01
270,8,Bennett Ltd Microwave,"Kolkata, West Bengal",0.0,432.0,2023-01-01
271,10,Byrd-Bailey Wall Clock,"Bhubaneswar, Odisha",0.0,212.0,2024-07-01
272,51,"Williams, Barnes and Thompson Vacuum Cleaner","Guwahati, Assam",0.0,60.0,2022-10-01
273,25,Gordon and Sons Lipstick,"Srinagar, J&K",38.0,303.0,2022-01-01
274,34,White-Huff Stapler,"Dehradun, Uttarakhand",0.0,215.0,2023-02-01
275,2,Larson and Sons Foundation,"Bhubaneswar, Odisha",238.0,417.0,2022-11-01
276,19,Gray Ltd Curtains,"Cuttack, Odisha",218.0,324.0,2023-10-01
277,64,Mendez-Newton Lipstick,"Nagpur, Maharashtra",150.0,43200.0,2024-09-01
278,91,Garcia-Mills Headphones,"Shimla, Himachal Pradesh",368.0,405.0,2023-03-01
279,29,Briggs Ltd Wall Clock,"Bhopal, Madhya Pradesh",0.0,162.0,2023-08-01
280,18,Hughes and Sons Foundation,"Patna, Bihar",72.0,180.0,2022-11-01
281,49,"Brown, Horn and Livingston Massage Oil","Raipur, Chhattisgarh",363.0,413.0,2024-06-01
282,36,"Ferguson, Hernandez and Boyd Yoga Mat","Hyderabad, Telangana",201.0,246.0,2022-09-01
283,64,Mendez-Newton Lipstick,"Coimbatore, Tamil Nadu",142.0,436.0,2024-02-01
284,27,Gay-Clarke Moisturizer,"Raipur, Chhattisgarh",346.0,447.0,2024-02-01
285,39,"Smith, Hill and Woods Perfume","Thiruvananthapuram, Kerala",9.0,123.0,2022-02-01
286,7,"Jones, Jackson and Rich Marker","Visakhapatnam, Andhra Pradesh",0.0,304.0,2022-05-01
287,67,Hill PLC Air Conditioner,"Mysuru, Karnataka",359.0,393.0,2023-03-01
288,52,Simmons Ltd Table Lamp,"Coimbatore, Tamil Nadu",0.0,374.0,2022-05-01
289,3,"Schultz, Avila and Foster Table Lamp","Jalandhar, Punjab",0.0,230.0,2022-09-01
